,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Dlo Gaye","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Fleurine","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Seresite 1","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Seresite 2","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Bissainthe 1","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Nan Lagon","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Grand Platon","Ma Pintade","CHW","-71.918623","18.785271"
,"Centre","","Lascahobas","2ème Juampas","Cadico","Wounno 1","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Wounno 2","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Kablondin","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Nan Silverse","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Kaleveye 1","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Kaleveye 2","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Ofouk","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Nan Roche","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Bois Cochon","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadico","Pigatwa","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Camichel","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Calitie","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Platon Ma","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Gros Bassin","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Nan Doco","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Nan Pou nou","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Nan brevil","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Nan Tipol","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Reposoire","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Cafoubonne","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Mabriole","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Capreban","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Nan Silfine","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","Cadido","Nan Brinnef","CHW","",""
,"Centre","","Lascahobas","2ème Juampas","La Colline","Gros Roche","CHW","",""
