,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Plaisance","CNIGS","298","-72.533726","18.488908"
,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Jovin","CNIGS","299","-72.542823","18.516094"
,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Santo","CNIGS","300","-72.535255","18.5388"
,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Maville","CNIGS","301","-72.514174","18.504412"
,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Petit Boucan","CNIGS","302","-72.522257","18.484098"
,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Jean-Jean","CNIGS","303","-72.547933","18.486338"
,"Ouest","Port-au-Prince","Gressier","24ème Petit Boucan","Pamber","CNIGS","304","-72.564513","18.512048"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Beloc","CNIGS","2295","-72.588547","18.379371"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Coq Chante","CNIGS","2296","-72.553662","18.362416"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Paraison","CNIGS","2297","-72.541582","18.38316"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Citronier","CNIGS","2298","-72.561083","18.389606"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Duclos","CNIGS","2299","-72.581836","18.389872"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Roche à Pierre","CNIGS","2300","-72.566917","18.366235"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Bas Duble","CNIGS","2301","-72.570588","18.374329"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Bouchi","CNIGS","2302","-72.535681","18.399015"
,"Ouest","Léogâne","Léogâne","10ème Fonds d'Oie","Haut Duble","CNIGS","2303","-72.561069","18.369764"
,"Ouest","Léogâne","Léogâne","11ème Gros Morne","Pierre","CNIGS","2154","-72.563526","18.416372"
,"Ouest","Léogâne","Léogâne","11ème Gros Morne","Mardi Gras","CNIGS","2155","-72.592076","18.429028"
,"Ouest","Léogâne","Léogâne","11ème Gros Morne","Citronelle","CNIGS","2156","-72.58889","18.424056"
